unit,street,city,state,postal,country,property value,existing mortgage amount
,93 Harvey St,Framingham,01701,MA ,US,25038517,22446604
845,910 Linda St,Rock Hill,29730,SC ,US,168964115,135760868
754,945 Lakewood Ave,Central Islip,11722,NY ,US,105608025,53744956
,266 Sherwood Circle,Potomac,20854,MD ,US,164673346,52039488
592,600 East Kirkland St,Duarte,91010,CA ,US,186005298,140030873
868,9257 Tunnel Court,Sugar Land,77478,TX ,US,291806738,1398180
,7366 Trusel Avenue,Garden City,11530,NY ,US,85177596,73409082
362,280 Marlborough Street,Newington,06111,CT ,US,237131521,199422932
353,7321 Augusta Court,Baltimore,21206,MD ,US,72545913,14555821
971,36 Prospect Avenue,Inman,29349,SC ,US,260787850,199903651
775,9866 Boston St,Ocoee,34761,FL ,US,108825514,27762685
,7863 W. Gregory St,Carpentersville,60110,IL ,US,189956474,30608001
577,7666 Willow St,Owings Mills,21117,MD ,US,27152020,532658
,47 Trout Dr,Boynton Beach,33435,FL ,US,268600181,130070758
,16 San Carlos Rd,Muskego,53150,WI ,US,104506478,43698721
116,91 Foster Street,North Brunswick,08902,NJ ,US,132802077,55696730
,7792 Roberts Street,Reno,89523,NV ,US,258544460,101032578
990,953 W. Arlington Ave,Georgetown,29440,SC ,US,215210666,85806002
595,423 Peg Shop St,Bridgeport,06606,CT ,US,264792933,88474720
193,689 High Noon Street,Casselberry,32707,FL ,US,288334290,24542509
677,7846 Old Greenrose St,Tiffin,44883,OH ,US,272945206,84897713
,9252 Mulberry St,Lawrence Township,08648,NJ ,US,84000047,41805127
173,16 Richardson Rd,Stuart,34997,FL ,US,175529420,118558431
,7030 Cedar Lane,Mount Laurel,08054,NJ ,US,50721919,16998368
,7211 Whitemarsh Dr,Ridgewood,07450,NJ ,US,251712494,145278142
164,9726 Stonybrook Court,West Palm Beach,33404,FL ,US,233072986,35822080
486,834 W. Division Lane,West Bend,53095,WI ,US,135934081,84547274
,20 Birch Hill Court,East Northport,11731,NY ,US,252781173,180133083
40,5 George St,Kalispell,59901,MT ,US,271010678,15676656
73,8357 South High Point St,Trenton,08610,NJ ,US,67639536,41291810
933,9064 Piper St,East Haven,06512,CT ,US,229414669,59436084
,106 Sheffield Street,Ashtabula,44004,OH ,US,49412988,4880728
,85 E. Rockledge Avenue,Albany,12203,NY ,US,289999447,232209504
603,8669 Gulf Road,Pewaukee,53072,WI ,US,85489422,28886039
418,8889 Marshall Street,Buford,30518,GA ,US,49455815,30492004
615,59 North Sunnyslope Dr,Wilson,27893,NC ,US,90712722,73384498
828,441 Manhattan St,Rochester,14606,NY ,US,299312580,154417815
786,915 Spruce Drive,Valley Stream,11580,NY ,US,285982317,122528807
164,479 High Ridge St,Morgantown,26508,WV ,US,197241863,175728710
734,552 E. Big Rock Cove Dr,Macungie,18062,PA ,US,292385237,106082269
745,3 South Gates Drive,Matawan,07747,NJ ,US,195269831,19981233
503,7440 Arlington Lane,Erlanger,41018,KY ,US,108949729,62001181
,670 Nichols Avenue,Kennesaw,30144,GA ,US,141977210,78800689
287,287 New Saddle Lane,Westbury,11590,NY ,US,159474217,14320065
412,91 South Shirley St,Roswell,30075,GA ,US,120914254,75116679
240,857 Goldfield Lane,Goshen,46526,IN ,US,266671574,42191300
832,38 Hamilton Street,Wenatchee,98801,WA ,US,94707225,30608782
918,9434 Griffin St,Hickory,28601,NC ,US,294591526,183806806
473,23 Mayfair Ave,West New York,07093,NJ ,US,43323137,31710714
304,239 Devon Rd,Milton,02186,MA ,US,43499284,21612424
,751 Cherry Hill Street,Melrose,02176,MA ,US,3513339,213428
549,6 East Sheffield Ave,Danvers,01923,MA ,US,257965210,200995479
,31 Tarkiln Hill St,Goodlettsville,37072,TN ,US,149151191,113812848
,3 East Purple Finch Ave,Monroe Township,08831,NJ ,US,16983501,14624423
